Date,Home,Away,HG,AG,League,Season,Country,Round,Status,SourceLeagueName,SourceLeagueId
2026-05-17,Sturm Graz,Rapid Wien,2,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-05-17,Red Bull Salzburg,TSV Hartberg,1,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-05-17,Austria Wien,LASK Linz,0,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-05-16,Wolfsberger AC,WSG Swarovski Tirol,2,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-05-16,FC Blau Weiss Linz,Grazer AK,0,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-05-16,Rheindorf Altach,SV Ried,2,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-05-10,Rapid Wien,Austria Wien,0,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-05-10,LASK Linz,Red Bull Salzburg,2,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-05-10,TSV Hartberg,Sturm Graz,2,4,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-05-09,Grazer AK,Rheindorf Altach,2,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-05-09,SV Ried,Wolfsberger AC,0,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-05-09,WSG Swarovski Tirol,FC Blau Weiss Linz,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-05-04,LASK Linz,Rapid Wien,3,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-05-04,Rheindorf Altach,Wolfsberger AC,1,4,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-05-03,Red Bull Salzburg,Sturm Graz,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-05-03,Austria Wien,TSV Hartberg,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-05-02,SV Ried,FC Blau Weiss Linz,2,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-05-02,Grazer AK,WSG Swarovski Tirol,4,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-26,Sturm Graz,Austria Wien,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-26,Rapid Wien,Red Bull Salzburg,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-26,TSV Hartberg,LASK Linz,1,5,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-25,Wolfsberger AC,Grazer AK,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-25,WSG Swarovski Tirol,SV Ried,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-24,FC Blau Weiss Linz,Rheindorf Altach,3,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-22,Sturm Graz,LASK Linz,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-22,Rapid Wien,TSV Hartberg,0,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-22,Red Bull Salzburg,Austria Wien,3,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-21,SV Ried,Grazer AK,2,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-21,FC Blau Weiss Linz,Wolfsberger AC,3,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-21,Rheindorf Altach,WSG Swarovski Tirol,0,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-19,Austria Wien,Red Bull Salzburg,1,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-19,LASK Linz,Sturm Graz,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-19,TSV Hartberg,Rapid Wien,2,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-18,WSG Swarovski Tirol,Rheindorf Altach,2,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-18,Wolfsberger AC,FC Blau Weiss Linz,0,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-17,Grazer AK,SV Ried,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-12,Austria Wien,Rapid Wien,1,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-12,Sturm Graz,TSV Hartberg,0,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-11,FC Blau Weiss Linz,WSG Swarovski Tirol,5,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-11,Wolfsberger AC,SV Ried,0,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-11,Rheindorf Altach,Grazer AK,1,0,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-10,Red Bull Salzburg,LASK Linz,2,3,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-05,LASK Linz,Austria Wien,4,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-05,TSV Hartberg,Red Bull Salzburg,1,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-05,Rapid Wien,Sturm Graz,0,2,Bundesliga,2025,,,FT,Austrian Bundesliga,133
2026-04-04,WSG Swarovski Tirol,Wolfsberger AC,3,1,Bundesliga,2025,,,FT,Austrian Bundesliga,133
