Date,Home,Away,HG,AG,League,Season,Country,Round,Status,SourceLeagueName,SourceLeagueId
2026-05-17,Chivas Guadalajara,CDSyC Cruz Azul,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-05-15,Pachuca,Pumas U.N.A.M.,1,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-05-14,CDSyC Cruz Azul,Chivas Guadalajara,2,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-05-11,Pumas U.N.A.M.,Club America,3,3,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-05-10,Pachuca,Toluca,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-05-10,CDSyC Cruz Azul,Atlas,1,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-05-10,Chivas Guadalajara,Tigres UANL,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-05-04,Toluca,Pachuca,0,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-05-03,Atlas,CDSyC Cruz Azul,2,3,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-05-03,Tigres UANL,Chivas Guadalajara,3,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-05-03,Club America,Pumas U.N.A.M.,3,3,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-27,CDSyC Cruz Azul,Necaxa,4,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-26,Santos Laguna,Monterrey,3,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-26,Club America,Atlas,0,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-26,FC Juarez,Atletico San Luis,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-26,Toluca,Club Leon,4,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-26,Chivas Guadalajara,Club Tijuana,0,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-25,Pachuca,Pumas U.N.A.M.,0,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-25,Puebla,Queretaro FC,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-25,Tigres UANL,Mazatlan FC,5,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-23,Necaxa,Chivas Guadalajara,0,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-23,Club Tijuana,Pachuca,3,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-23,Mazatlan FC,Toluca,4,3,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-23,Atletico San Luis,Santos Laguna,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-23,Atlas,Tigres UANL,0,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-22,Club Leon,Club America,2,3,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-22,Monterrey,Puebla,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-22,Pumas U.N.A.M.,FC Juarez,4,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-22,Queretaro FC,CDSyC Cruz Azul,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-19,Club Leon,FC Juarez,3,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-19,Chivas Guadalajara,Puebla,5,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-19,Monterrey,Pachuca,1,3,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-19,Santos Laguna,Atlas,0,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-19,Club America,Toluca,2,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-18,CDSyC Cruz Azul,Club Tijuana,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-18,Necaxa,Tigres UANL,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-18,Mazatlan FC,Queretaro FC,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-18,Atletico San Luis,Pumas U.N.A.M.,0,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-13,Toluca,Atletico San Luis,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-12,Pachuca,Santos Laguna,4,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-12,Atlas,Monterrey,0,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-12,Club America,CDSyC Cruz Azul,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-12,Pumas U.N.A.M.,Mazatlan FC,3,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-11,Tigres UANL,Chivas Guadalajara,4,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-11,Queretaro FC,Necaxa,3,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-11,FC Juarez,Club Tijuana,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-11,Puebla,Club Leon,0,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-08,Queretaro FC,FC Juarez,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-06,Chivas Guadalajara,Pumas U.N.A.M.,2,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-05,CDSyC Cruz Azul,Pachuca,1,2,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-05,Santos Laguna,Club America,1,1,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-05,Club Leon,Atlas,2,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
2026-04-04,Queretaro FC,Toluca,1,0,Liga MX,2025,,,FT,Primera Division Liga MX,10415
